timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gnss_available,gnss_lat,gnss_lon,satellites,hdop,gt_lat,gt_lon,gt_speed_m_s,gt_heading_rad
0.0,-1.2917,-0.0459,10.1336,-0.0032,0.0367,0.002,17.42,17.93,39.65,True,37.7748811,-122.419428,11,1.14,37.7749,-122.4194,10.08,0.8
0.1,-1.3662,0.0289,10.1246,-0.0065,-0.0015,0.002,17.41,17.94,40.68,True,37.7748947,-122.4194671,8,1.22,37.7749062,-122.4193919,9.95,0.8002
0.2,0.6769,0.0974,9.8929,0.0012,0.0055,0.002,17.41,17.94,40.16,True,37.7749322,-122.4193708,8,1.38,37.7749124,-122.4193839,9.82,0.8004
0.3,0.5541,-0.0015,10.1037,0.0126,0.0089,0.002,17.41,17.94,40.57,True,37.7748839,-122.4193329,8,1.2,37.7749187,-122.4193756,10.07,0.8006
0.4,-1.8637,-0.0466,9.3062,0.004,0.0011,0.002,17.4,17.95,40.61,True,37.7749284,-122.4193283,9,0.91,37.7749249,-122.4193675,9.98,0.8008
0.5,0.3052,0.0331,10.1875,-0.0149,0.0126,0.002,17.4,17.95,40.4,True,37.7749235,-122.4193489,10,0.86,37.774931,-122.4193596,9.67,0.801
0.6,2.0399,0.0551,9.6674,0.0185,0.0285,0.002,17.4,17.95,39.16,True,37.7749181,-122.4193427,9,0.87,37.7749372,-122.4193514,9.99,0.8012
0.7,-0.9089,0.1369,9.6683,0.0031,-0.029,0.002,17.39,17.96,40.01,True,37.7749224,-122.4193814,11,1.31,37.7749435,-122.4193432,10.03,0.8014
0.8,1.9788,-0.0851,9.8555,0.0248,-0.0192,0.002,17.39,17.96,40.49,True,37.7749413,-122.4193298,11,1.1,37.7749496,-122.4193352,9.79,0.8016
0.9,3.1894,0.1527,9.6742,-0.0133,0.0335,0.002,17.39,17.97,40.26,True,37.7750072,-122.419302,11,1.34,37.7749562,-122.4193267,10.44,0.8018
1.0,-1.5493,0.0843,9.9233,0.044,0.0162,0.002,17.38,17.97,40.65,True,37.7749239,-122.4192891,8,1.21,37.7749627,-122.4193182,10.42,0.802
1.1,0.6575,0.1664,9.8411,0.0008,0.0214,0.002,17.38,17.97,40.65,True,37.7750237,-122.4193151,9,0.9,37.774969,-122.4193099,10.11,0.8022
1.2,1.8311,0.0743,10.2471,0.0169,-0.0048,0.002,17.37,17.98,39.82,True,37.7749767,-122.4193088,8,1.04,37.7749756,-122.4193013,10.49,0.8024
1.3,-0.5457,-0.0655,9.759,0.0002,-0.0124,0.002,17.37,17.98,40.12,True,37.7749978,-122.419297,11,1.01,37.7749821,-122.4192928,10.45,0.8026
1.4,0.5278,-0.0339,9.7177,0.0143,-0.0228,0.002,17.37,17.98,39.92,True,37.7750496,-122.419278,9,0.86,37.7749886,-122.4192843,10.38,0.8028
1.5,-1.3393,0.0174,9.477,0.0178,0.0075,0.002,17.36,17.99,39.6,True,37.7749677,-122.4192768,10,0.91,37.7749952,-122.4192756,10.58,0.803
1.6,-3.8986,0.0061,10.17,-0.013,0.0249,0.002,17.36,17.99,40.22,True,37.7749787,-122.419266,8,0.81,37.7750015,-122.4192673,10.15,0.8032
1.7,-0.6496,0.0284,9.3184,-0.0577,-0.0016,0.002,17.36,17.99,40.57,True,37.7749565,-122.4192487,9,0.86,37.7750077,-122.4192593,9.82,0.8034
1.8,2.7281,0.0058,9.9681,0.0017,-0.0074,0.002,17.35,18.0,39.19,True,37.7750056,-122.4192261,10,1.32,37.7750139,-122.4192511,10.0,0.8036
1.9,2.4325,0.0217,9.4751,0.0197,-0.012,0.002,17.35,18.0,39.9,True,37.775046,-122.4193117,10,0.96,37.7750203,-122.4192426,10.32,0.8038
2.0,1.0185,0.1186,9.7035,-0.0044,-0.0009,0.002,17.35,18.0,39.74,True,37.775025,-122.419266,8,1.32,37.7750269,-122.419234,10.49,0.804
2.1,1.5786,0.0795,9.4554,-0.0092,-0.0155,0.002,17.34,18.01,39.4,True,37.7749831,-122.4192166,9,1.04,37.7750335,-122.4192254,10.55,0.8042
2.2,0.1015,-0.08,9.6844,0.029,-0.0121,0.002,17.34,18.01,39.37,True,37.7750193,-122.4192407,9,1.25,37.7750402,-122.4192166,10.76,0.8044
2.3,-0.5491,-0.037,9.6308,-0.0038,0.0251,0.002,17.33,18.01,40.1,True,37.7750188,-122.419224,11,1.27,37.7750467,-122.4192079,10.56,0.8046
2.4,-0.2383,0.0484,10.1981,0.0138,-0.0218,0.002,17.33,18.02,39.81,True,37.775064,-122.419159,10,0.86,37.7750534,-122.4191992,10.63,0.8048
2.5,0.9833,0.0291,9.9895,0.0285,0.0032,0.002,17.33,18.02,39.98,True,37.7750629,-122.419171,8,1.31,37.7750599,-122.4191906,10.45,0.805
2.6,0.5965,-0.0166,10.6579,-0.0058,-0.0582,0.002,17.32,18.02,39.82,True,37.7750653,-122.4191329,9,1.11,37.7750666,-122.4191817,10.81,0.8052
2.7,-1.4278,0.0264,10.3005,0.0293,0.0071,0.002,17.32,18.03,40.29,True,37.7750833,-122.4191238,9,1.4,37.7750732,-122.4191731,10.59,0.8054
2.8,-0.5219,0.0665,9.3263,-0.0206,-0.0127,0.002,17.32,18.03,39.95,True,37.7750631,-122.4191974,11,1.14,37.7750798,-122.4191644,10.52,0.8056
2.9,0.2961,0.1019,9.3074,0.0366,0.0118,0.002,17.31,18.03,39.36,True,37.7750456,-122.4190969,10,1.31,37.7750863,-122.4191558,10.48,0.8058
3.0,-0.5319,0.0478,9.945,0.0156,0.03,0.002,17.31,18.04,40.44,True,37.7750712,-122.4190811,10,1.27,37.7750929,-122.4191471,10.59,0.806
3.1,-0.5172,0.0119,10.222,-0.0187,0.0323,0.002,17.31,18.04,39.07,True,37.7751133,-122.4191356,11,0.91,37.7750993,-122.4191386,10.36,0.8062
3.2,1.049,0.0245,9.7532,-0.0066,0.0143,0.002,17.3,18.04,40.18,True,37.7750663,-122.4191238,9,0.89,37.7751059,-122.41913,10.49,0.8064
3.3,2.7149,-0.115,9.9157,0.0011,0.012,0.002,17.3,18.05,39.9,True,37.7751193,-122.4191529,11,0.96,37.7751125,-122.4191213,10.63,0.8066
3.4,1.5319,-0.0817,9.8041,-0.0126,0.0105,0.002,17.3,18.05,40.58,True,37.7751148,-122.4190913,9,1.4,37.7751194,-122.4191122,11.03,0.8068
3.5,-2.281,0.122,10.14,0.0004,-0.0151,0.002,17.29,18.06,39.71,True,37.7751154,-122.4191205,10,1.22,37.7751262,-122.4191032,10.99,0.807
3.6,-0.1139,-0.0061,10.2417,0.0242,-0.0204,0.002,17.29,18.06,39.25,True,37.7751186,-122.4190837,10,0.94,37.7751328,-122.4190945,10.6,0.8072
3.7,-0.8935,0.0576,9.7857,0.0084,0.0107,0.002,17.28,18.06,39.35,True,37.7751359,-122.4191135,9,0.88,37.7751396,-122.4190854,10.99,0.8074
3.8,-0.3863,0.1787,9.7498,-0.0256,0.0106,0.002,17.28,18.07,39.6,True,37.7751178,-122.4190401,8,1.39,37.7751461,-122.4190769,10.38,0.8076
3.9,2.3081,-0.1274,9.1676,-0.0262,-0.0226,0.002,17.28,18.07,40.69,True,37.7751363,-122.4190307,11,0.93,37.7751528,-122.419068,10.88,0.8078
4.0,1.3607,-0.2705,9.4831,0.0102,-0.0126,0.002,17.27,18.07,39.31,True,37.7751364,-122.4190805,9,1.31,37.7751595,-122.4190591,10.81,0.808
4.1,2.0034,0.0271,9.8296,-0.0656,0.0352,0.002,17.27,18.08,40.42,True,37.7751167,-122.41907,9,1.26,37.7751664,-122.41905,11.09,0.8082
4.2,-0.8888,0.009,9.7642,-0.0202,0.0198,0.002,17.27,18.08,39.16,True,37.7751755,-122.4190074,10,1.14,37.7751734,-122.4190407,11.18,0.8084
4.3,-1.7227,-0.0805,10.0216,0.0021,-0.0186,0.002,17.26,18.08,40.12,True,37.7751416,-122.4190529,9,1.3,37.7751802,-122.4190318,10.92,0.8086
4.4,0.8485,0.0207,9.8594,0.0071,0.0297,0.002,17.26,18.09,40.6,True,37.7751808,-122.4190416,10,1.3,37.7751869,-122.4190228,10.84,0.8088
4.5,0.5259,0.1134,9.4211,0.0241,0.0079,0.002,17.26,18.09,40.36,True,37.7752238,-122.4190041,11,1.17,37.7751937,-122.4190138,11.03,0.809
4.6,-0.236,-0.074,9.7522,0.0142,0.0215,0.002,17.25,18.09,39.45,True,37.7751914,-122.4190148,9,1.19,37.7752005,-122.4190048,10.91,0.8092
4.7,-0.4768,-0.0499,9.5316,-0.0382,-0.0232,0.002,17.25,18.1,40.7,True,37.7751911,-122.4189639,8,0.97,37.7752073,-122.4189957,10.98,0.8094
4.8,-0.04,0.1132,10.4518,0.0069,-0.0003,0.002,17.24,18.1,39.43,True,37.7751888,-122.4189362,9,1.18,37.775214,-122.4189868,10.82,0.8096
4.9,3.0563,0.0866,9.5069,0.0061,-0.0284,0.002,17.24,18.1,39.8,True,37.7752552,-122.418939,8,1.39,37.7752208,-122.4189778,10.98,0.8098
5.0,1.0305,-0.0268,9.8873,-0.0008,0.0171,0.002,17.24,18.11,39.85,True,37.7752098,-122.4189582,10,1.08,37.7752279,-122.4189684,11.4,0.81
5.1,-1.7342,0.061,9.6848,0.012,-0.0076,0.002,17.23,18.11,40.24,True,37.7752197,-122.4189349,9,1.22,37.7752349,-122.4189591,11.25,0.8102
5.2,-1.3866,0.0943,9.9916,0.0154,-0.0044,0.002,17.23,18.11,40.09,True,37.775292,-122.4189312,8,1.3,37.7752417,-122.41895,11.06,0.8104
